ticket_description,category,priority
"VPN connection keeps disconnecting during peak working hours, this is a affects productivity issue (ticket 338)",Network,Medium
"Cannot connect to WiFi network after recent configuration changes, this is a minor issue (ticket 339)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 340)",Network,Low
"LAN connection is not detected on the office laptop, this is a critical issue issue (ticket 341)",Network,High
"LAN connection is not detected for multiple users in the same department, this is a non-critical issue (ticket 342)",Network,Low
"Network outage reported for multiple users in the same department, this is a urgent issue (ticket 343)",Network,High
"Internet connection is very slow after the latest system update, this is a blocking operations issue (ticket 344)",Network,High
"Internet connection is very slow after the latest system update, this is a affects productivity issue (ticket 345)",Network,Medium
"Internet connection is very slow affecting critical business operations, this is a low impact issue (ticket 346)",Network,Low
"High network latency detected intermittently throughout the day, this is a non-critical issue (ticket 347)",Network,Low
"Network outage reported intermittently throughout the day, this is a moderate impact issue (ticket 348)",Network,Medium
"LAN connection is not detected during peak working hours, this is a system down issue (ticket 349)",Network,High
"Cannot connect to WiFi network reported by several employees, this is a minor issue (ticket 350)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a needs attention issue (ticket 351)",Network,Medium
"LAN connection is not detected after recent configuration changes, this is a occasionally issue (ticket 352)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a low impact issue (ticket 353)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a moderate impact issue (ticket 354)",Network,Medium
"High network latency detected affecting critical business operations, this is a affects productivity issue (ticket 355)",Network,Medium
"Cannot connect to WiFi network when connected to office network, this is a critical issue issue (ticket 356)",Network,High
"Internet connection is very slow on the office laptop, this is a occasionally issue (ticket 357)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a needs attention issue (ticket 358)",Network,Medium
"VPN connection keeps disconnecting during peak working hours, this is a low impact issue (ticket 359)",Network,Low
"Cannot connect to WiFi network after the latest system update, this is a occasionally issue (ticket 360)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a urgent issue (ticket 361)",Network,High
"Internet connection is very slow when connected to office network, this is a critical issue issue (ticket 362)",Network,High
"High network latency detected since this morning, this is a affects productivity issue (ticket 363)",Network,Medium
"Packet loss occurs frequently intermittently throughout the day, this is a moderate impact issue (ticket 364)",Network,Medium
"High network latency detected when connected to office network, this is a low impact issue (ticket 365)",Network,Low
"Internet connection is very slow intermittently throughout the day, this is a low impact issue (ticket 366)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a minor issue (ticket 367)",Network,Low
"Cannot connect to WiFi network when connected to office network, this is a moderate impact issue (ticket 368)",Network,Medium
"Internet connection is very slow when connected to office network, this is a urgent issue (ticket 369)",Network,High
"Cannot connect to WiFi network intermittently throughout the day, this is a affects productivity issue (ticket 370)",Network,Medium
"LAN connection is not detected during peak working hours, this is a affects productivity issue (ticket 371)",Network,Medium
"Packet loss occurs frequently intermittently throughout the day, this is a occasionally issue (ticket 372)",Network,Low
